slug,city,source,N,mean_degree,lambda_max,E_y_dirichlet,E_y_permuted_ref,smoothness_y,E_imd_mean_dirichlet,k_concentration_50,k_concentration_90,R2_spectral_imd_subspace_upper_bound
boston_bluebikes,Bluebikes Boston,tier1,497,1.6180622100170812,1.998587325821438,233.65589580938638,504.75666238938794,0.5370920025040985,209.6322226425456,46,349,0.10352911617305144
dc_capitalbikeshare,Capital Bikeshare DC,tier1,776,1.5885812522996903,1.9999999999999993,271.7627033733197,803.9079156470613,0.6619479693086747,274.68198123498127,39,477,0.26633666832714636
chicago_divvy,Divvy Chicago,tier1,1345,1.4847353556913085,1.9999780413223776,503.6987804450488,1369.511706637209,0.6322055678648673,473.9840565011005,28,857,0.31717168873398016
sf_baywheels,Bay Wheels SF,tier1,560,1.9143212961100833,1.9983343012501256,310.5715931544439,577.6704510503082,0.46237237409362175,186.02841744197303,57,490,0.147994229245286
london_tfl,Santander Cycles London,tier1,798,3.1181890041843405,1.6591579072926497,629.1657542725279,867.7246317845887,0.2749246348135046,305.77441241056476,218,653,0.10480291171555987
montreal_bixi,BIXI Montréal,tier1,1057,2.4166272749276985,1.99999705012781,906.9185969494534,1327.3249081547908,0.3167320289270953,338.0049418767116,205,765,0.07760659945749061
tier2_paris,Vélib Paris,tier2,1511,2.8059198665812644,1.999999999972837,1248.2203405887017,1780.9637254823026,0.2991320807218175,,412,1256,
tier2_lyon,Vélo'v Lyon,tier2,462,2.679850891388132,1.999999975455637,260.81471844954524,463.35094316886284,0.43711192931683673,181.5399217900723,66,350,0.19874589842626833
tier2_toulouse,VéLÔ Toulouse,tier2,448,2.3504497368386432,1.982291813256205,247.9392207427666,448.2394761097552,0.44685991761676835,164.03247033899717,71,336,0.174602017877893
