city,slug,N,n_axes,R2_linear_subspace,R2_nonlinear_insample,R2_nonlinear_5fold_cv
Bluebikes Boston,boston_bluebikes,493,4,0.10627328969103848,0.97580115366656,-0.18507413032809383
Capital Bikeshare DC,dc_capitalbikeshare,765,4,0.26798120707588863,0.979499377235284,0.13530647094383363
Divvy Chicago,chicago_divvy,1337,4,0.3169825371438143,0.849333501634483,0.17329389537436213
Bay Wheels SF,sf_baywheels,552,4,0.15409801726094965,0.9854725172945752,0.08834211249053603
BIXI Montréal,montreal_bixi,717,4,0.22484330191812538,0.9796517641813115,0.16296152354864268
Santander Cycles London,london_tfl,788,4,0.12634998548328966,0.9544798181563264,-0.2096537043992115
Vélib Paris,paris,1361,4,0.1772717827340645,0.9046670057841357,0.06667434172310271
Vélo'v Lyon,lyon,462,4,0.19874589842626833,0.9737315833441608,0.030715771962419702
VéLÔ Toulouse,toulouse,448,4,0.1746020178778931,0.9869772762015205,-0.15058657095928862
