country,n_cities,n_stations,imd4_mean
IT,2,358,0.7150739588565167
JP,2,5931,0.504952854361602
CH,1,1634,0.499490266628878
BE,4,972,0.261323163292536
HR,2,227,0.24081694235678144
DE,13,3245,0.21050696213178247
AT,4,176,0.1405457979407782
SE,1,20,0.0636362690318812
NO,1,94,0.06169893399635924
PL,6,2422,-0.01770409140685959
PT,1,39,-0.029796112378185618
LU,1,146,-0.04918356799180347
CA,4,2578,-0.057077470227567956
IE,2,178,-0.09616463121486306
CZ,9,1708,-0.1413595584515689
FR,48,5499,-0.15338496104452634
ES,18,2978,-0.21245384696203576
US,17,7503,-0.23134419315987534
MC,1,59,-0.23224572573549482
TR,1,118,-0.26611881928260805
SI,5,283,-0.2917633913050949
AE,1,225,-0.31701890174261654
GB,20,2317,-0.3216576752978931
CL,1,200,-0.33462303340946997
BR,7,1021,-0.36482437732047485
MX,2,1046,-0.37685652069938136
LT,1,36,-0.3778677108865931
AR,3,512,-0.41361466047458295
CO,1,194,-0.42725732157993074
SK,1,26,-0.432186100480729
RO,3,127,-0.4493510899555148
