city,n_daily_parquets,n_stations,n_rows,span_hours,mean_poll_gap_sec,pseudo_trips_total,bytes,kb_per_station_hour
Paris,8,1514,11671914,1887.6,60.1,403934,27644467,0.01
lyon,8,463,3562758,1887.6,60.2,191466,4727570,0.01
toulouse,8,462,3467620,1887.6,60.2,147737,3147074,0.0
levelo_inurba_marseille,8,228,1755929,1887.6,60.2,84776,1892305,0.0
v_lille,8,267,2060706,1887.6,60.2,33188,4087658,0.01
velo-tbm-bordeaux,8,230,1757433,1887.6,60.2,30235,1055379,0.0
velivert_saint_etienne,8,97,748549,1887.6,60.2,21519,951046,0.01
nantes,8,124,949191,1887.6,60.2,14417,989403,0.0
twisto_velolib_caen,8,76,582289,1884.8,60.2,12388,535204,0.0
inurba-rouen,8,131,960487,1887.6,60.2,11818,570077,0.0
velonecy60minutes_annecy,8,80,617440,1887.6,60.2,11021,393524,0.0
vilvolt_epinal,8,107,812808,1884.8,60.2,10935,685724,0.0
CVelo_FR_Clermont-Ferrand,8,82,628776,1884.8,60.2,9114,518257,0.0
velozef,8,46,352342,1887.6,60.2,8758,360943,0.0
velopop,8,29,222372,1884.8,60.2,8662,380463,0.01
tanlib,8,59,441391,1884.8,60.2,7373,230132,0.0
amiens,8,46,354499,1887.6,60.2,6963,379718,0.0
capcotentin,8,49,375732,1884.8,60.2,6956,245705,0.0
zebullo,8,66,507738,1887.6,60.2,6296,230919,0.0
nancy,8,40,302646,1887.6,60.2,5855,373511,0.0
nextbike_af,8,62,477987,1887.6,60.2,5536,397798,0.0
le_velo_star,8,57,438729,1887.6,60.3,5416,474921,0.0
beb,8,46,352249,1884.8,60.2,5025,185369,0.0
auxrmlevelo,8,55,421740,1884.8,60.2,4496,419874,0.0
libelo,8,68,521424,1884.8,60.2,4351,323348,0.0
idecycle_pau,8,40,306720,1884.8,60.2,3669,227324,0.0
velibeo,8,26,199368,1884.8,60.2,1939,150691,0.0
semo,8,40,306720,1884.8,60.2,1846,165195,0.0
montpellier,8,53,401812,1887.6,60.2,1648,230451,0.0
Optymo_Belfort_ALS,8,52,398528,1884.8,60.1,414,174579,0.0
calais-velos,8,80,613360,1884.8,60.2,63,201848,0.0
donkey_valenciennes,8,40,306720,1884.8,60.2,32,149211,0.0
besancon,1,33,1650,0.8,60.0,24,7226,0.26
citiz_alpes_loire,8,413,3135254,1884.8,60.2,3,1271613,0.0
citiz_grand_est,8,285,2089740,1884.8,60.2,2,495702,0.0
citiz_occitanie,8,138,1034877,1884.8,60.2,1,237791,0.0
cergy,8,45,347310,1887.6,60.2,0,165880,0.0
citiz_grand_poitiers,8,22,168696,1884.8,60.2,0,129072,0.0
citiz_la_rochelle,8,24,184032,1884.8,60.2,0,128334,0.0
citiz_rennes_metropole,8,55,414551,1884.8,60.2,0,156864,0.0
donkey_brest,8,75,575100,1884.8,60.2,0,213705,0.0
citiz_bfc,8,60,457685,1884.8,60.2,0,160608,0.0
citiz_angers,8,27,206557,1884.8,60.2,0,132073,0.0
