country,n_cities,n_stations,M_mean,I_mean,T_mean,D_mean
FR,48,5499,0.5051784317079826,6.67448863451184,14.130277565287969,6.5988012166843975
GB,20,2317,0.17953711871954042,8.57320557373817,7.55875410795515,11.39527396756791
ES,18,2978,0.3929952140876258,8.018945038064738,9.849736476901931,11.611813828019077
US,17,7503,0.3868584818359679,8.592597610714975,7.011342423749382,12.090485255897095
DE,13,3245,1.3915970353138043,9.619421771510149,6.458295407486727,9.59362527071782
CZ,9,1708,0.5971991925055296,2.541470955163824,9.905876880140694,15.936303736621442
BR,7,1021,0.166047159777238,3.433718133105992,7.459167959756335,9.374671219839286
PL,6,2422,0.8801605847204849,12.641578217487941,5.431376287898274,5.742140423548641
SI,5,283,0.13626554069903823,21.216643209007742,6.0418741802173415,6.200304949566034
AT,4,176,1.2069913419913418,13.568290043290043,4.191367099553678,11.464155844155844
BE,4,972,1.495667826782351,11.795717730439037,5.24518026486178,9.770420150776118
CA,4,2578,0.6972122194511722,10.449160606908649,7.136534394194138,20.496858532412784
RO,3,127,0.07876834944504117,0.6005489915264351,3.198760127295085,10.288578589330468
AR,3,512,0.18516800659657803,1.4017470624613482,2.9532439374157824,5.2324950182093035
HR,2,227,1.5584577114427862,9.079410639112131,2.767472331547875,4.919058553386912
IE,2,178,0.6934286114613983,10.217528373266077,3.5693328888226743,17.132548689925738
IT,2,358,2.546619496855346,10.412264150943397,3.1743697644868623,13.142295597484276
JP,2,5931,2.1782101743693922,1.3225516336549856,3.964556225854894,13.867805146436432
MX,2,1046,0.13835949290068972,1.2442727159915616,3.1077027305834273,25.15820633834108
CO,1,194,0.005154639175257732,3.7010309278350517,4.124986162981313,20.54639175257732
CL,1,200,0.245,1.295,7.598781610950118,11.73
AE,1,225,0.38666666666666666,1.1422222222222222,3.4057418611461165,7.022222222222222
CH,1,1634,1.9106487148102815,4.7105263157894735,13.3385522609014,22.268053855569157
NO,1,94,1.053191489361702,8.638297872340425,0.0,28.78723404255319
MC,1,59,0.1016949152542373,0.23728813559322035,24.344201853802844,28.677966101694917
LU,1,146,0.678082191780822,12.417808219178083,12.730411080453388,7.780821917808219
LT,1,36,0.05555555555555555,9.083333333333334,7.549151978886357,10.0
SE,1,20,0.75,34.7,5.460381605982888,8.4
PT,1,39,0.0,1.7692307692307692,67.26455767671123,1.4871794871794872
SK,1,26,0.038461538461538464,6.115384615384615,3.7662377042094253,9.615384615384615
TR,1,118,0.4322033898305085,1.7372881355932204,8.301104236686557,3.8813559322033897
